Order Date,Website,Purchase Order Number,Shipment Date,Order Status,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged,Buyer Name,Group Name
3/30/2021,Amazon.com,,3/30/2021,Shipped,$35.51 ,$0.00 ,$2.13 ,$0.00 ,$2.13 ,$37.64 ,PSF,
3/30/2021,Amazon.com,,3/30/2021,Shipped,$7.98 ,$0.00 ,$0.48 ,$0.00 ,$0.48 ,$8.46 ,PSF,
3/30/2021,Amazon.com,,3/31/2021,Shipped,$3.99 ,$0.00 ,$0.24 ,$0.00 ,$0.24 ,$4.23 ,PSF,
3/31/2021,Amazon.com,,4/1/2021,Shipped,$9.99 ,$0.00 ,$0.60 ,$0.00 ,$0.60 ,$10.59 ,PSF,
4/1/2021,Amazon.com,,4/1/2021,Shipped,$5.49 ,$0.00 ,$0.33 ,$0.00 ,$0.33 ,$5.82 ,PSF,
4/2/2021,Amazon.com,,4/3/2021,Shipped,$7.98 ,$0.00 ,$0.48 ,$0.00 ,$0.48 ,$8.46 ,PSF,
4/4/2021,Amazon.com,,4/6/2021,Shipped,$16.19 ,$0.00 ,$0.97 ,$0.00 ,$0.97 ,$17.16 ,PSF,
4/5/2021,Amazon.com,,4/5/2021,Shipped,$122.99 ,$0.00 ,$7.38 ,$0.00 ,$7.38 ,$130.37 ,PSF,
4/5/2021,Amazon.com,,4/5/2021,Shipped,$36.99 ,$0.00 ,$2.22 ,$0.00 ,$2.22 ,$39.21 ,PSF,
4/5/2021,Amazon.com,,4/6/2021,Shipped,$16.99 ,$0.00 ,$1.02 ,$0.00 ,$1.02 ,$18.01 ,PSF,
4/5/2021,Amazon.com,,4/6/2021,Shipped,$127.71 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$127.71 ,PSF,
4/6/2021,Amazon.com,,4/10/2021,Shipped,$28.48 ,$0.00 ,$1.71 ,$0.00 ,$1.71 ,$30.19 ,PSF,
4/10/2021,Amazon.com,,4/10/2021,Shipped,$40.79 ,$0.00 ,$2.45 ,$0.00 ,$2.45 ,$43.24 ,PSF,
4/10/2021,Amazon.com,,4/12/2021,Shipped,$7.99 ,$0.00 ,$0.48 ,$0.00 ,$0.48 ,$8.47 ,PSF,
4/10/2021,Amazon.com,,4/11/2021,Shipped,$21.10 ,$0.00 ,$1.27 ,$0.00 ,$1.27 ,$22.37 ,PSF,
